open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1764727200000,3014.27,3048.00,3012.42,3029.46,238640.600,1764730799999,723974327.34540,358213,133591.914,405352210.42983,0
1764730800000,3029.47,3036.66,3019.66,3029.08,93603.884,1764734399999,283559694.38186,183644,45658.396,138329559.18641,0
1764734400000,3029.07,3063.00,3028.05,3055.21,197834.997,1764737999999,603146408.55321,283080,116842.303,356289084.12636,0
1764738000000,3055.21,3069.46,3045.63,3057.19,177476.096,1764741599999,542657963.24147,282553,88249.502,269866303.56766,0
1764741600000,3057.18,3084.34,3053.00,3065.36,251003.521,1764745199999,770646799.26147,383379,127254.145,390761902.94431,0
1764745200000,3065.36,3067.11,3050.15,3056.41,111797.386,1764748799999,341835823.53789,199735,50842.518,155464418.89499,0
1764748800000,3056.41,3059.85,3041.95,3049.86,113760.436,1764752399999,346991907.32842,182560,48840.776,148989050.41977,0
1764752400000,3049.86,3062.00,3044.21,3059.04,91085.812,1764755999999,278099560.37836,164610,46651.551,142445345.83975,0
1764756000000,3059.04,3079.15,3048.89,3054.55,138637.857,1764759599999,424431005.12034,211168,70096.617,214663969.59206,0
1764759600000,3054.56,3076.96,3048.48,3071.95,133905.488,1764763199999,410404319.09003,211792,72671.915,222763530.74238,0
1764763200000,3071.94,3085.49,3065.74,3080.16,177444.343,1764766799999,545704373.56421,266790,101848.289,313270158.47151,0
1764766800000,3080.15,3094.99,3076.02,3088.79,180697.244,1764770399999,557952033.94363,297753,95314.721,294323566.63550,0
1764770400000,3088.79,3145.14,3030.00,3074.79,1146482.242,1764773999999,3535162260.94331,1527167,562101.371,1734654087.05030,0
1764774000000,3074.80,3108.68,3055.00,3084.84,384710.146,1764777599999,1184986854.10426,740238,181829.446,560230426.65411,0
1764777600000,3084.84,3106.51,3062.72,3086.99,221699.010,1764781199999,684321972.30303,407024,109033.411,336573350.07120,0
1764781200000,3086.99,3132.37,3086.00,3126.38,226741.881,1764784799999,705411737.13622,393689,126374.038,393155426.15146,0
1764784800000,3126.39,3141.17,3103.00,3113.76,223542.024,1764788399999,698537552.70292,389563,103921.308,324805073.98616,0
1764788400000,3113.76,3131.88,3109.66,3126.78,99711.713,1764791999999,310980905.12253,229511,48371.289,150875607.09594,0
1764792000000,3126.79,3161.62,3115.60,3136.82,213363.488,1764795599999,669084582.30428,359528,120540.501,378198250.19149,0
1764795600000,3136.83,3169.00,3127.06,3163.09,213193.844,1764799199999,671547656.51671,331981,119169.713,375455774.03941,0
1764799200000,3163.08,3198.00,3141.82,3188.42,328137.815,1764802799999,1040332518.76462,471126,200934.427,637359204.09538,0
1764802800000,3188.43,3216.53,3177.16,3187.07,252872.653,1764806399999,807818067.43022,383562,143305.207,457973695.47959,0
1764806400000,3187.08,3206.00,3172.75,3196.48,209515.874,1764809999999,668276318.15559,359059,104803.298,334409663.76527,0
1764810000000,3196.49,3239.27,3193.31,3201.23,388290.135,1764813599999,1248174800.89271,510396,200202.329,643361128.06503,0
1764813600000,3201.24,3224.66,3197.03,3219.99,142119.887,1764817199999,456567063.11485,274236,72683.567,233536268.59864,0
1764817200000,3220.00,3227.72,3203.27,3208.57,86059.027,1764820799999,276436593.26183,187490,42347.605,136031635.98361,0
1764820800000,3208.57,3218.00,3186.09,3190.84,147542.578,1764824399999,471784219.30097,188015,57404.974,183610661.52790,0
1764824400000,3190.84,3193.62,3170.06,3184.09,195707.213,1764827999999,622851112.20880,219809,78690.605,250482471.12645,0
1764828000000,3184.10,3219.33,3179.44,3203.81,202617.514,1764831599999,648540847.71588,277987,116791.602,373789527.87932,0
1764831600000,3203.81,3204.72,3179.02,3189.02,155575.790,1764835199999,496836736.99456,214896,77913.046,248885186.24944,0
1764835200000,3189.01,3195.88,3173.45,3183.00,110920.131,1764838799999,353076553.88314,182833,53139.488,169159693.70411,0
1764838800000,3183.01,3207.59,3181.72,3198.64,102865.047,1764842399999,328862213.15874,190847,55157.930,176326436.56405,0
1764842400000,3198.65,3202.64,3183.55,3187.28,70649.771,1764845999999,225604893.82626,143458,32673.863,104350752.48152,0
1764846000000,3187.28,3193.66,3175.55,3185.09,96974.023,1764849599999,308791598.87029,173730,48455.968,154315294.44533,0
