open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1759705200000,123188.50,123453.50,123166.00,123426.70,4323.279,1759708799999,533463901.46550,72985,2483.328,306448676.48130,0
1759708800000,123426.70,124336.30,123018.50,123295.80,12174.141,1759712399999,1505431489.21110,280259,5978.410,739313616.63290,0
1759712400000,123295.90,124218.00,123140.30,123980.80,5613.509,1759715999999,694871415.65900,176719,2990.919,370302050.04440,0
1759716000000,123980.80,124200.00,123385.20,124066.90,5103.031,1759719599999,631785731.00070,155599,2465.389,305348764.94160,0
1759719600000,124066.80,124086.60,123689.30,123792.90,2045.130,1759723199999,253387093.47760,90604,928.125,114989846.26480,0
1759723200000,123792.80,123955.00,123525.10,123538.20,2359.969,1759726799999,291980280.81690,83478,1032.246,127719590.32790,0
1759726800000,123538.20,123710.80,123223.90,123522.30,4097.688,1759730399999,505712699.56080,110593,1774.395,219018430.69820,0
1759730400000,123522.30,124137.70,123522.30,123900.00,3773.234,1759733999999,467352619.42260,115695,2019.900,250165949.14380,0
1759734000000,123900.10,123988.10,123217.90,123332.30,4307.757,1759737599999,532334587.82280,116151,1781.328,220137079.68660,0
1759737600000,123332.40,123837.70,123332.30,123800.00,3099.874,1759741199999,383247446.56050,89612,1696.171,209686194.23840,0
1759741200000,123800.00,124020.80,123725.50,123915.20,2682.699,1759744799999,332300002.52020,82929,1359.495,168400890.65080,0
1759744800000,123915.10,124104.00,123850.00,123920.00,2773.002,1759748399999,343834062.97000,76723,1272.256,157757542.21070,0
1759748400000,123920.00,124500.00,123682.10,124161.20,5885.806,1759751999999,730811558.24280,149688,3278.876,407169493.77730,0
1759752000000,124161.30,124647.60,124123.30,124495.30,5659.872,1759755599999,704282991.59230,147952,3047.758,379262356.41550,0
1759755600000,124495.20,125062.90,124320.00,124967.80,11405.149,1759759199999,1422126809.21950,315645,5808.061,724335417.66290,0
1759759200000,124967.70,125281.00,124245.00,124475.90,12831.163,1759762799999,1602009178.22040,325785,5196.033,648910667.11940,0
